customer_id,satisfaction_score,survey_date,tier,points
C084,10.0,2023-12-01,,
C054,3.0,2023-12-02,Silver,8306.0
C071,6.0,2023-12-03,Silver,7311.0
C046,5.0,2023-12-04,Bronze,4265.0
C045,7.0,2023-12-05,Silver,6346.0
C040,2.0,2023-12-06,,
C023,5.0,2023-12-07,,
C081,1.0,2023-12-08,,
C011,2.0,2023-12-09,,
C001,2.0,2023-12-10,Silver,7010.0
C019,8.0,2023-12-11,,
C031,9.0,2023-12-12,Bronze,5912.0
C074,2.0,2023-12-13,,
C034,2.0,2023-12-14,Platinum,7032.0
C091,9.0,2023-12-15,Gold,7212.0
C005,6.0,2023-12-16,Bronze,9221.0
C077,6.0,2023-12-17,Bronze,3752.0
C078,3.0,2023-12-18,Gold,2270.0
C013,10.0,2023-12-19,Platinum,1813.0
C032,7.0,2023-12-20,Bronze,4654.0
C056,7.0,2023-12-21,,
C089,6.0,2023-12-22,Platinum,1176.0
C027,9.0,2023-12-23,Silver,7045.0
C043,5.0,2023-12-24,Silver,9603.0
C070,4.0,2023-12-25,Gold,6152.0
C016,1.0,2023-12-26,,
C041,8.0,2023-12-27,,
C097,9.0,2023-12-28,,
C010,6.0,2023-12-29,Bronze,2340.0
C073,7.0,2023-12-30,Bronze,5176.0
C012,10.0,2023-12-31,Silver,4940.0
C048,10.0,2024-01-01,,
C086,4.0,2024-01-02,Silver,5908.0
C029,6.0,2024-01-03,Gold,224.0
C094,6.0,2024-01-04,,
C006,6.0,2024-01-05,Platinum,1590.0
C067,10.0,2024-01-06,,
C066,1.0,2024-01-07,Gold,8857.0
C036,2.0,2024-01-08,Gold,8954.0
C017,6.0,2024-01-09,Bronze,3472.0
C050,6.0,2024-01-10,,
C035,9.0,2024-01-11,,
C008,1.0,2024-01-12,,
C096,4.0,2024-01-13,Gold,8441.0
C028,9.0,2024-01-14,,
C020,4.0,2024-01-15,Gold,1799.0
C082,3.0,2024-01-16,Silver,7319.0
C026,10.0,2024-01-17,,
C063,9.0,2024-01-18,Gold,6960.0
C014,9.0,2024-01-19,,
C009,,,Platinum,4016.0
C083,,,Silver,5901.0
C064,,,Bronze,1878.0
C051,,,Gold,2974.0
C024,,,Bronze,6197.0
C061,,,Bronze,7692.0
C025,,,Platinum,1222.0
C039,,,Gold,2163.0
C057,,,Bronze,5363.0
C076,,,Gold,1442.0
C030,,,Gold,3100.0
C092,,,Bronze,4709.0
C042,,,Silver,3292.0
C022,,,Silver,938.0
C085,,,Silver,4554.0
C088,,,Gold,6528.0
C098,,,Platinum,331.0
C021,,,Gold,8760.0
C090,,,Bronze,6236.0
C038,,,Bronze,6732.0
C060,,,Gold,4586.0
C002,,,Gold,6375.0
C075,,,Gold,8284.0
C080,,,Silver,4000.0
C015,,,Gold,386.0
C055,,,Silver,4253.0
C052,,,Silver,1260.0
C007,,,Bronze,1105.0
C099,,,Silver,5220.0
C044,,,Gold,4840.0
